Date,Close/Last,Volume,Open,High,Low
07/23/2024,$59.71,7572010,$60.72,$60.95,$59.69
07/22/2024,$60.77,7489501,$59.90,$60.79,$59.52
07/19/2024,$59.33,9352934,$59.81,$59.83,$58.75
07/18/2024,$60.00,9102024,$60.55,$61.33,$59.94
07/17/2024,$61.24,8322110,$61.11,$61.84,$60.655
07/16/2024,$61.81,9198845,$60.80,$62.02,$60.68
07/15/2024,$60.47,9442989,$60.25,$61.02,$59.82
07/12/2024,$60.27,8166185,$60.39,$60.52,$59.78
07/11/2024,$59.99,13081970,$59.55,$60.93,$59.43
07/10/2024,$58.90,7697110,$59.09,$59.31,$58.20
07/09/2024,$59.00,8477370,$58.90,$59.70,$58.42
07/08/2024,$59.09,10320360,$59.72,$60.0299,$58.63
07/05/2024,$59.76,12243850,$59.38,$60.16,$58.83
07/03/2024,$59.64,6908317,$59.03,$60.01,$58.895
07/02/2024,$58.97,13231570,$58.78,$59.27,$58.32
07/01/2024,$57.81,12237470,$58.36,$58.365,$57.03
06/28/2024,$58.03,28102010,$58.32,$58.76,$57.90
06/27/2024,$58.37,11648920,$58.48,$58.49,$57.21
06/26/2024,$58.26,12599370,$59.74,$59.75,$58.03
06/25/2024,$59.33,9359170,$59.57,$59.57,$58.97
06/24/2024,$59.49,10464730,$60.00,$60.56,$59.46
06/21/2024,$60.61,18888290,$59.92,$60.76,$59.67
06/20/2024,$59.80,12928490,$59.25,$60.00,$58.79
06/18/2024,$59.12,13500310,$59.92,$60.11,$59.03
06/17/2024,$60.13,13558490,$60.37,$60.64,$59.4805
06/14/2024,$60.635,10366040,$61.29,$61.64,$60.31
06/13/2024,$61.54,11985380,$63.12,$63.625,$61.52
06/12/2024,$63.43,14137510,$65.46,$65.86,$62.90
06/11/2024,$64.77,15108670,$67.13,$67.15,$64.405
06/10/2024,$67.09,11978820,$66.97,$67.49,$65.80
06/07/2024,$67.30,13194960,$66.50,$68.2985,$66.20
06/06/2024,$67.02,22068790,$64.285,$67.82,$64.17
06/05/2024,$63.53,8846106,$63.76,$63.81,$62.85
06/04/2024,$63.33,9046058,$63.14,$64.13,$63.03
06/03/2024,$63.46,9039816,$63.04,$63.52,$62.58
05/31/2024,$62.99,14269040,$62.73,$63.56,$61.77
05/30/2024,$62.51,11874710,$62.77,$63.34,$62.13
05/29/2024,$61.05,8142812,$61.23,$61.59,$60.85
05/28/2024,$62.17,11159560,$62.30,$62.87,$61.75
05/24/2024,$61.64,8176776,$61.95,$62.06,$61.27
05/23/2024,$61.58,10533410,$62.54,$62.685,$61.2201
05/22/2024,$62.19,14532240,$63.79,$63.91,$61.845
05/21/2024,$64.10,6576018,$64.39,$64.69,$63.70
05/20/2024,$64.77,6429049,$64.528,$65.035,$63.77
05/17/2024,$64.48,8204812,$64.08,$64.71,$63.845
05/16/2024,$64.10,8113565,$63.59,$64.43,$63.4201
05/15/2024,$63.90,10972600,$65.11,$65.53,$63.48
05/14/2024,$64.58,7556453,$64.39,$64.86,$64.27
05/13/2024,$63.95,7311644,$63.435,$64.43,$63.19
05/10/2024,$62.93,8745768,$64.59,$64.94,$62.88
05/09/2024,$64.45,8368668,$63.87,$64.47,$63.41
05/08/2024,$63.81,11183820,$65.46,$65.70,$63.77
05/07/2024,$65.92,9232204,$66.08,$66.77,$65.77
05/06/2024,$65.61,11257560,$66.00,$66.10,$64.95
05/03/2024,$65.70,15435160,$67.64,$67.89,$64.72
05/02/2024,$66.98,14480560,$66.70,$67.44,$65.83
05/01/2024,$66.14,17966530,$67.00,$67.80,$65.49
04/30/2024,$67.92,43903400,$70.00,$70.6618,$67.22
04/29/2024,$66.99,19142390,$66.00,$67.55,$66.00
04/26/2024,$65.96,14200890,$64.13,$66.30,$63.75
04/25/2024,$64.10,11711240,$63.47,$64.4005,$62.95
04/24/2024,$64.84,8189112,$64.11,$65.09,$64.02
04/23/2024,$64.43,9912958,$63.38,$64.70,$63.20
04/22/2024,$63.19,9958232,$63.04,$63.635,$62.48
04/19/2024,$62.31,13177880,$62.00,$62.4601,$61.725
04/18/2024,$62.10,9240022,$63.85,$64.03,$61.95
04/17/2024,$63.26,8000869,$63.78,$63.97,$62.58
04/16/2024,$63.43,9912670,$62.99,$64.21,$62.92
04/15/2024,$63.51,11008660,$65.06,$65.47,$63.25
04/12/2024,$64.59,9933991,$65.38,$65.97,$64.16
04/11/2024,$65.80,8785482,$65.845,$66.3775,$64.68
04/10/2024,$65.88,8566270,$65.12,$66.19,$65.05
04/09/2024,$67.00,8459879,$66.95,$67.26,$66.385
04/08/2024,$66.34,8421432,$65.53,$66.70,$65.33
04/05/2024,$65.15,8062301,$64.70,$65.47,$64.06
04/04/2024,$64.54,9933370,$65.99,$66.36,$64.34
04/03/2024,$65.34,7176112,$64.48,$65.455,$64.41
04/02/2024,$64.66,10329270,$63.95,$64.84,$63.55
04/01/2024,$65.03,9840525,$67.00,$67.361,$65.00
03/28/2024,$66.99,10775820,$66.87,$67.72,$66.43
03/27/2024,$66.57,10591210,$67.72,$68.21,$66.14
03/26/2024,$66.67,14826400,$66.74,$67.97,$66.50
03/25/2024,$66.00,10224310,$64.80,$66.385,$64.80
03/22/2024,$64.77,10208060,$66.44,$67.25,$64.75
03/21/2024,$66.14,14022130,$65.30,$66.99,$65.05
03/20/2024,$65.05,12641430,$63.58,$65.36,$63.115
03/19/2024,$63.01,9089319,$63.77,$64.05,$62.80
03/18/2024,$64.23,14219880,$63.12,$64.76,$63.10
03/15/2024,$62.85,20039970,$62.60,$63.83,$62.43
03/14/2024,$63.00,19342010,$62.51,$64.20,$62.21
03/13/2024,$62.45,19983380,$59.98,$63.30,$59.81
03/12/2024,$60.03,13485070,$59.80,$60.475,$59.296
03/11/2024,$60.08,11172680,$59.00,$60.2197,$58.945
03/08/2024,$59.01,18283480,$58.72,$59.5603,$58.242
03/07/2024,$58.50,19447860,$58.46,$59.055,$57.95
03/06/2024,$58.12,17187420,$58.75,$58.92,$57.91
03/05/2024,$58.27,18056680,$59.51,$60.83,$57.87
03/04/2024,$59.98,17125210,$60.41,$60.60,$58.86
03/01/2024,$60.54,17590440,$60.53,$61.64,$60.21
02/29/2024,$60.34,17117340,$60.60,$61.8657,$60.015
02/28/2024,$60.25,9851606,$59.70,$60.90,$59.44
02/27/2024,$60.16,11467610,$59.57,$60.24,$59.44
02/26/2024,$59.33,11065550,$58.93,$60.175,$58.71
02/23/2024,$59.16,13356990,$58.85,$59.4301,$58.2301
02/22/2024,$58.35,17292990,$57.77,$58.64,$57.37
02/21/2024,$57.48,13424270,$58.08,$58.45,$57.145
02/20/2024,$58.63,12399530,$58.23,$59.0299,$58.19
02/16/2024,$59.14,12195810,$58.86,$59.75,$58.4501
02/15/2024,$59.70,13321040,$58.86,$60.245,$58.06
02/14/2024,$58.87,16520620,$58.595,$59.015,$57.63
02/13/2024,$58.26,19540230,$57.88,$58.7301,$57.86
02/12/2024,$60.09,21768230,$58.61,$60.615,$58.42
02/09/2024,$58.91,31421420,$56.205,$59.22,$56.1601
02/08/2024,$56.13,68272670,$57.98,$58.59,$55.77
02/07/2024,$63.24,33211330,$64.54,$64.90,$62.85
02/06/2024,$63.71,17564320,$62.03,$63.73,$61.62
02/05/2024,$61.54,10223340,$62.00,$62.0779,$61.30
02/02/2024,$62.42,14618910,$61.79,$62.72,$61.00
02/01/2024,$62.02,13449400,$61.51,$62.06,$60.6423
01/31/2024,$61.35,15623060,$63.00,$63.40,$61.19
01/30/2024,$63.68,18786110,$62.90,$64.50,$62.07
01/29/2024,$63.76,15913850,$61.20,$63.79,$60.90
